epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.33535,4.05271,10.6651,0.70257,7.48329,2.45966,0.15686,0.07143,0.0125,0.01,0,0,0,0,2.86911,11.2528,0.69463,6.54916,2.44358,0,0,0
2,5.01397,3.58536,10.7552,0.70494,7.73972,2.43331,0.15676,0.07143,0.0125,0.01,0,0,0,0,2.85046,11.2533,0.69446,6.46469,2.41682,1.9802e-05,1.9802e-05,1.9802e-05
3,7.43437,2.89877,10.3664,0.69496,7.12682,2.19955,0.15679,0.07143,0.0125,0.01,0,0,0,0,2.83109,11.2577,0.6944,6.36874,2.39526,3.9208e-05,3.9208e-05,3.9208e-05
4,9.49364,3.41561,10.5849,0.6949,8.4336,2.5894,0.15686,0.07143,0.0125,0.01,0,0,0,0,2.77829,11.2565,0.69436,6.19167,2.32956,5.8218e-05,5.8218e-05,5.8218e-05
5,11.6007,2.97554,10.5127,0.69014,6.70335,2.79089,0.15721,0.07143,0.0125,0.01,0,0,0,0,2.7076,11.2749,0.69415,5.94737,2.26898,7.6832e-05,7.6832e-05,7.6832e-05
