epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,62.6915,1.37345,9.86425,0.67768,1.24962,1.23445,0.30159,0.57143,0.3202,0.12367,0,0,0,0,2.19336,11.0981,0.69007,2.26482,1.89733,0.000413482,0.000413482,0.000413482
31,64.8363,2.09121,9.9017,0.6856,1.86567,1.72681,0.26467,0.5,0.27788,0.0942,0,0,0,0,2.21197,11.1007,0.68978,2.29275,1.90277,0.0004218,0.0004218,0.0004218
32,66.7526,1.84262,9.90102,0.68852,1.659,1.59693,0.26467,0.5,0.27788,0.0942,0,0,0,0,2.21197,11.1007,0.68978,2.29275,1.90277,0.000429722,0.000429722,0.000429722
33,68.7499,1.56026,9.26886,0.68887,1.62815,1.39891,0.20923,0.5,0.2101,0.08657,0,0,0,0,2.22827,11.09,0.68937,2.31767,1.89399,0.000437248,0.000437248,0.000437248
34,70.7013,1.69659,9.96207,0.69201,1.44797,1.34704,0.20923,0.5,0.2101,0.08657,0,0,0,0,2.22827,11.09,0.68937,2.31767,1.89399,0.000444378,0.000444378,0.000444378
35,72.7274,1.99872,9.88294,0.70168,1.68045,1.60704,0.28223,0.28571,0.2127,0.08038,0,0,0,0,2.28239,11.0638,0.68747,2.35947,1.90718,0.000451112,0.000451112,0.000451112
36,74.7018,1.42707,9.64769,0.70137,1.28594,1.31734,0.28223,0.28571,0.2127,0.08038,0,0,0,0,2.28239,11.0638,0.68747,2.35947,1.90718,0.00045745,0.00045745,0.00045745
37,76.7047,2.12526,9.5747,0.67537,1.98619,1.89265,0.20272,0.28571,0.18933,0.06523,0,0,0,0,2.33838,11.0467,0.68681,2.46236,1.93623,0.000463392,0.000463392,0.000463392
38,78.7406,1.38614,9.58504,0.64826,1.38603,1.45712,0.20272,0.28571,0.18933,0.06523,0,0,0,0,2.33838,11.0467,0.68681,2.46236,1.93623,0.000468938,0.000468938,0.000468938
39,80.8403,1.3916,9.54333,0.72116,1.46329,1.52908,0.13492,0.5,0.17174,0.05568,0,0,0,0,2.32895,11.024,0.68707,2.54918,1.99177,0.000474088,0.000474088,0.000474088
40,82.8352,1.77121,9.45837,0.68228,1.35472,1.4789,0.13492,0.5,0.17174,0.05568,0,0,0,0,2.32895,11.024,0.68707,2.54918,1.99177,0.000478842,0.000478842,0.000478842
41,85.0502,1.11704,9.3749,0.67536,1.25121,1.23263,0.14849,0.57143,0.15824,0.04729,0,0,0,0,2.35801,11.0088,0.68627,2.68268,2.02964,0.0004832,0.0004832,0.0004832
42,87.0487,1.37474,8.75811,0.6704,1.5227,1.42735,0.14849,0.57143,0.15824,0.04729,0,0,0,0,2.35801,11.0088,0.68627,2.68268,2.02964,0.000487162,0.000487162,0.000487162
43,89.0731,1.73045,9.97456,0.70103,1.71695,1.51827,0.14981,0.64286,0.15121,0.04791,0,0,0,0,2.32263,10.9879,0.68552,2.76895,2.00751,0.000490728,0.000490728,0.000490728
44,91.0847,1.4567,9.41444,0.67586,1.45929,1.68294,0.14981,0.64286,0.15121,0.04791,0,0,0,0,2.32263,10.9879,0.68552,2.76895,2.00751,0.000493898,0.000493898,0.000493898
45,93.0924,0.9968,7.66402,0.69689,1.0568,1.20932,0.26205,0.35714,0.1686,0.05006,0,0,0,0,2.35757,10.9611,0.68493,2.77241,2.02701,0.000496672,0.000496672,0.000496672
46,95.049,1.41639,9.11726,0.69921,1.47083,1.44793,0.26205,0.35714,0.1686,0.05006,0,0,0,0,2.35757,10.9611,0.68493,2.77241,2.02701,0.00049905,0.00049905,0.00049905
47,97.1573,1.16583,8.9808,0.66443,1.18375,1.18801,0.32246,0.35714,0.18872,0.05906,0,0,0,0,2.36658,10.9567,0.68435,2.76383,2.05974,0.000501032,0.000501032,0.000501032
48,99.1724,1.33422,9.56318,0.70125,1.1114,1.19667,0.32246,0.35714,0.18872,0.05906,0,0,0,0,2.36658,10.9567,0.68435,2.76383,2.05974,0.000502618,0.000502618,0.000502618
49,101.252,1.21286,9.1718,0.7026,1.21576,1.15506,0.34499,0.35714,0.2003,0.06122,0,0,0,0,2.37592,10.9402,0.68486,2.63708,2.08923,0.000503808,0.000503808,0.000503808
50,103.512,1.19526,9.50729,0.67925,1.10653,1.24906,0.34499,0.35714,0.2003,0.06122,0,0,0,0,2.37592,10.9402,0.68486,2.63708,2.08923,0.000504602,0.000504602,0.000504602
51,105.725,1.23999,8.77357,0.67988,1.07609,1.1978,0.28571,0.2857,0.1608,0.05914,0,0,0,0,2.41412,10.9537,0.68538,2.48972,2.11158,0.000505,0.000505,0.000505
52,107.692,1.23841,8.86656,0.66717,1.03877,1.20732,0.28571,0.2857,0.1608,0.05914,0,0,0,0,2.41412,10.9537,0.68538,2.48972,2.11158,0.000505002,0.000505002,0.000505002
53,109.683,1.15694,9.74393,0.69914,1.08485,1.19882,0.28571,0.2857,0.1608,0.05914,0,0,0,0,2.41412,10.9537,0.68538,2.48972,2.11158,0.000504608,0.000504608,0.000504608
54,111.618,1.00284,9.02435,0.68381,1.00254,1.192,0.26047,0.30267,0.17217,0.06702,0,0,0,0,2.41191,10.9782,0.68654,2.35303,2.11755,0.000503818,0.000503818,0.000503818
55,113.537,1.33688,8.52653,0.6699,0.99363,1.29042,0.26047,0.30267,0.17217,0.06702,0,0,0,0,2.41191,10.9782,0.68654,2.35303,2.11755,0.000502632,0.000502632,0.000502632
56,115.481,1.38415,9.43565,0.67847,1.04755,1.24968,0.26047,0.30267,0.17217,0.06702,0,0,0,0,2.41191,10.9782,0.68654,2.35303,2.11755,0.00050105,0.00050105,0.00050105
57,117.43,1.34066,8.96495,0.70566,1.17231,1.15591,0.26098,0.27797,0.15684,0.06401,0,0,0,0,2.37877,10.9743,0.68702,2.35505,2.10834,0.000499072,0.000499072,0.000499072
58,119.318,1.1886,8.80935,0.67892,1.00859,1.16789,0.26098,0.27797,0.15684,0.06401,0,0,0,0,2.37877,10.9743,0.68702,2.35505,2.10834,0.000496698,0.000496698,0.000496698
59,121.209,1.35478,8.9028,0.66749,1.14007,1.2389,0.26098,0.27797,0.15684,0.06401,0,0,0,0,2.37877,10.9743,0.68702,2.35505,2.10834,0.000493928,0.000493928,0.000493928
60,123.116,1.21429,8.39284,0.64451,1.34117,1.3484,0.17302,0.28571,0.14582,0.0646,0,0,0,0,2.37789,10.9543,0.68673,2.39803,2.10455,0.000490762,0.000490762,0.000490762
61,125.003,1.20309,9.01758,0.67129,1.15451,1.15116,0.17302,0.28571,0.14582,0.0646,0,0,0,0,2.37789,10.9543,0.68673,2.39803,2.10455,0.0004872,0.0004872,0.0004872
62,126.94,1.13106,8.69307,0.69384,1.10692,1.22446,0.17302,0.28571,0.14582,0.0646,0,0,0,0,2.37789,10.9543,0.68673,2.39803,2.10455,0.000483242,0.000483242,0.000483242
63,128.842,1.06956,9.5016,0.69623,0.9133,1.19242,0.1585,0.5,0.13655,0.05724,0,0,0,0,2.37096,10.9389,0.68609,2.39279,2.1159,0.000478888,0.000478888,0.000478888
64,130.864,0.88311,9.38087,0.67834,0.78085,1.0963,0.1585,0.5,0.13655,0.05724,0,0,0,0,2.37096,10.9389,0.68609,2.39279,2.1159,0.000474138,0.000474138,0.000474138
65,132.845,1.20685,8.42913,0.67467,1.25057,1.1817,0.1585,0.5,0.13655,0.05724,0,0,0,0,2.37096,10.9389,0.68609,2.39279,2.1159,0.000468992,0.000468992,0.000468992
66,134.825,1.09968,8.45608,0.6869,1.01583,1.12083,0.22471,0.28571,0.16168,0.06066,0,0,0,0,2.3538,10.9206,0.68579,2.48519,2.08802,0.00046345,0.00046345,0.00046345
67,136.752,0.80608,8.18967,0.65052,0.73486,0.95927,0.22471,0.28571,0.16168,0.06066,0,0,0,0,2.3538,10.9206,0.68579,2.48519,2.08802,0.000457512,0.000457512,0.000457512
68,138.701,1.06839,8.60675,0.66198,0.83591,1.20027,0.22471,0.28571,0.16168,0.06066,0,0,0,0,2.3538,10.9206,0.68579,2.48519,2.08802,0.000451178,0.000451178,0.000451178
69,140.609,1.12697,8.43124,0.65512,0.88228,1.24498,0.19058,0.35714,0.15261,0.05768,0,0,0,0,2.33087,10.921,0.68436,2.55986,2.07627,0.000444448,0.000444448,0.000444448
70,142.5,1.1004,8.75892,0.70332,0.95874,1.19838,0.19058,0.35714,0.15261,0.05768,0,0,0,0,2.33087,10.921,0.68436,2.55986,2.07627,0.000437322,0.000437322,0.000437322
